
Processing calcEnergies_frame.C(2)...
1198196 total number of Entries
xtab[i0+1] 	126.143	ytab[i0+1] 	0.0240002
xtab[i0+1] 	133.025	ytab[i0+1] 	0.0260003
xtab[i0+1] 	133.025	ytab[i0+1] 	0.0260003
xtab[i0+1] 	133.025	ytab[i0+1] 	0.0260003
xtab[i0+1] 	133.025	ytab[i0+1] 	0.0260003
xtab[i0+1] 	139.795	ytab[i0+1] 	0.0280003
xtab[i0+1] 	139.795	ytab[i0+1] 	0.0280003
xtab[i0+1] 	146.464	ytab[i0+1] 	0.0300003
xtab[i0+1] 	146.464	ytab[i0+1] 	0.0300003
xtab[i0+1] 	153.042	ytab[i0+1] 	0.0320003
xtab[i0+1] 	153.042	ytab[i0+1] 	0.0320003
xtab[i0+1] 	159.537	ytab[i0+1] 	0.0340003
xtab[i0+1] 	159.537	ytab[i0+1] 	0.0340003
xtab[i0+1] 	159.537	ytab[i0+1] 	0.0340003
xtab[i0+1] 	159.537	ytab[i0+1] 	0.0340003
xtab[i0+1] 	165.957	ytab[i0+1] 	0.0360004
xtab[i0+1] 	165.957	ytab[i0+1] 	0.0360004
xtab[i0+1] 	172.309	ytab[i0+1] 	0.0380004
xtab[i0+1] 	172.309	ytab[i0+1] 	0.0380004
xtab[i0+1] 	178.597	ytab[i0+1] 	0.0400004
xtab[i0+1] 	178.597	ytab[i0+1] 	0.0400004
xtab[i0+1] 	184.826	ytab[i0+1] 	0.0420004
xtab[i0+1] 	184.826	ytab[i0+1] 	0.0420004
xtab[i0+1] 	191.002	ytab[i0+1] 	0.0440004
xtab[i0+1] 	191.002	ytab[i0+1] 	0.0440004
xtab[i0+1] 	197.128	ytab[i0+1] 	0.0460005
xtab[i0+1] 	197.128	ytab[i0+1] 	0.0460005
xtab[i0+1] 	197.128	ytab[i0+1] 	0.0460005
xtab[i0+1] 	197.128	ytab[i0+1] 	0.0460005
xtab[i0+1] 	203.207	ytab[i0+1] 	0.0480005
xtab[i0+1] 	203.207	ytab[i0+1] 	0.0480005
xtab[i0+1] 	209.242	ytab[i0+1] 	0.0500005
xtab[i0+1] 	209.242	ytab[i0+1] 	0.0500005
xtab[i0+1] 	215.238	ytab[i0+1] 	0.0520005
xtab[i0+1] 	215.238	ytab[i0+1] 	0.0520005
xtab[i0+1] 	221.195	ytab[i0+1] 	0.0540005
xtab[i0+1] 	221.195	ytab[i0+1] 	0.0540005
xtab[i0+1] 	227.117	ytab[i0+1] 	0.0560006
xtab[i0+1] 	227.117	ytab[i0+1] 	0.0560006
xtab[i0+1] 	233.006	ytab[i0+1] 	0.0580006
xtab[i0+1] 	233.006	ytab[i0+1] 	0.0580006
xtab[i0+1] 	238.863	ytab[i0+1] 	0.0600006
xtab[i0+1] 	238.863	ytab[i0+1] 	0.0600006
xtab[i0+1] 	244.691	ytab[i0+1] 	0.0620006
xtab[i0+1] 	244.691	ytab[i0+1] 	0.0620006
xtab[i0+1] 	250.492	ytab[i0+1] 	0.0640006
xtab[i0+1] 	250.492	ytab[i0+1] 	0.0640006
xtab[i0+1] 	256.266	ytab[i0+1] 	0.0660007
xtab[i0+1] 	256.266	ytab[i0+1] 	0.0660007
xtab[i0+1] 	262.016	ytab[i0+1] 	0.0680007
xtab[i0+1] 	262.016	ytab[i0+1] 	0.0680007
xtab[i0+1] 	262.016	ytab[i0+1] 	0.0680007
xtab[i0+1] 	262.016	ytab[i0+1] 	0.0680007
xtab[i0+1] 	267.743	ytab[i0+1] 	0.0700007
xtab[i0+1] 	267.743	ytab[i0+1] 	0.0700007
xtab[i0+1] 	273.448	ytab[i0+1] 	0.0720007
xtab[i0+1] 	273.448	ytab[i0+1] 	0.0720007
xtab[i0+1] 	885.13	ytab[i0+1] 	0.296003
xtab[i0+1] 	885.13	ytab[i0+1] 	0.296003
xtab[i0+1] 	890.417	ytab[i0+1] 	0.298003
xtab[i0+1] 	890.417	ytab[i0+1] 	0.298003
xtab[i0+1] 	2213.43	ytab[i0+1] 	0.668007
xtab[i0+1] 	2213.43	ytab[i0+1] 	0.668007
xtab[i0+1] 	2222.18	ytab[i0+1] 	0.670007
xtab[i0+1] 	2222.18	ytab[i0+1] 	0.670007
#ENTRY 0#
#ENTRY 100000#
#ENTRY 200000#
#ENTRY 300000#
#ENTRY 400000#
#ENTRY 500000#
#ENTRY 600000#
#ENTRY 700000#
#ENTRY 800000#
#ENTRY 900000#
#ENTRY 1000000#
#ENTRY 1100000#
